Speed,Vertical_Acceleration,Lateral_Acceleration,Longitudinal_Acceleration,Roll,Pitch,Yaw,Status
68.7,-0.02,-0.092,-0.045,-1.559,0.194,-0.805,1
101,0.002,0.001,0.011,-1.525,-0.011,-1.273,2
86.8,0.052,-0.009,0.015,-1.52,-0.016,0.056,1
101.2,-0.01,-0.01,0.008,-1.595,0.004,-1.187,2
113.4,-0.021,0.009,0.016,-1.532,0.005,-0.781,2
87.1,0,-0.026,0.031,-1.595,0.014,2.756,2
96.7,-0.021,0.01,-0.018,-1.549,0.028,0.025,2
91.3,-0.012,-0.004,0.008,-1.557,-0.003,0.121,2
109.1,-0.036,0.015,-0.011,-1.571,0.001,2.128,2
123.3,0.017,-0.007,0.034,-1.617,0.039,2.581,2
88.7,-0.055,0.017,-0.033,-1.523,0.008,-1.119,2
117.6,-0.003,0.003,0,-1.581,-0.011,-2.756,1
120.5,-0.017,-0.02,-0.008,-1.589,-0.036,-2.606,2
87,-0.042,-0.008,-0.014,-1.595,0.051,0.51,1
129.2,-0.066,0.012,0.034,-1.54,0.035,2.903,2
86.3,-0.096,-0.417,-0.055,-1.583,-0.417,-0.354,2
112.4,-0.079,0.027,0.059,-1.583,-0.019,-2.451,2
95.4,-0.108,0.025,-0.004,-1.541,-0.056,-2.869,1
91,-0.008,-0.011,0.005,-1.598,0.067,0.458,2
91.7,-0.035,0.007,-0.043,-1.526,0.037,-1,2
114.9,-0.019,0.038,-0.013,-1.562,-0.006,2.069,2
119.4,-0.041,-0.006,0.005,-1.57,-0.005,-0.967,2
140,-0.014,0.005,-0.004,-1.578,0.083,2.972,2
68.7,0.011,-0.009,-0.019,-1.493,-0.009,1.704,1
106.9,-0.009,-0.01,0.019,-1.543,-0.004,0.326,1
83.1,-0.018,0.005,0.016,-1.571,-0.025,1.682,1
87.6,-0.074,0.024,0.039,-1.545,-0.054,-0.804,2
102,-0.032,0.018,0.006,-1.494,0.029,0.382,2
97,-0.015,0.054,-0.029,-1.546,0.038,0.119,1
117.4,-0.004,-0.078,-0.014,-1.537,-0.069,-0.259,2
82.8,-0.009,0,0.012,-1.57,-0.009,-0.133,2
78.8,-0.045,-0.015,0.019,-1.576,-0.049,-0.578,2
97.7,-0.015,0.005,-0.004,-1.549,-0.005,0.426,2
137.6,-0.031,-0.059,0.006,-1.541,0.025,-2.443,2
121.6,-0.07,-0.007,0.01,-1.554,-0.02,-0.564,2
94.1,-0.029,0.004,0.007,-1.58,0.026,-0.021,2
93.7,-0.022,-0.011,-0.019,-1.565,0.011,0.078,2
70.1,-0.012,0.013,0.001,-1.593,-0.008,-0.228,1
86.7,-0.006,-0.015,0.012,-1.543,-0.015,0.768,2
64.8,0.014,0.186,0.026,-1.59,0.08,2.344,1
88.9,-0.012,0.021,-0.002,-1.529,-0.027,1.147,1
73.1,0.007,-0.007,-0.002,-1.607,-0.03,3.135,2
86.7,0.043,-0.035,0.008,-1.583,-0.017,2.107,1
82.7,-0.003,-0.01,-0.002,-1.567,-0.005,2.021,2
85.4,-0.024,-0.079,-0.004,-1.501,0.019,1.189,1
117.1,0.042,0.028,0.012,-1.471,-0.082,0.392,2
89.1,-0.001,-0.001,-0.027,-1.541,0.021,-1.293,1
102,-0.028,-0.01,0,-1.532,-0.001,0.838,1
71.5,-0.026,-0.005,0.019,-1.572,0.017,-2.818,1
121.3,-0.008,-0.012,-0.01,-1.512,0.008,2.631,1
56.2,0.069,0.04,-0.053,-1.594,0.263,0.889,1
98.2,-0.064,-0.035,0.005,-1.567,0.002,-2.789,2
116.2,0.009,-0.01,0,-1.592,0.003,-3.084,2
78.2,-0.023,0.017,-0.018,-1.519,0.035,-1.028,1
90.4,-0.025,0.019,0.006,-1.524,-0.087,-1.76,1
49.8,-0.017,0.005,0.041,-1.379,-0.001,1.795,1
117.8,-0.028,0.015,-0.014,-1.542,-0.013,1.773,1
84.1,-0.007,0.004,0.003,-1.538,-0.061,1.596,2
87.7,-0.017,-0.013,0.021,-1.585,0.005,0.285,2
88.7,-0.036,-0.002,0.025,-1.494,0.048,-0.771,2
84.9,-0.01,0.013,0.009,-1.47,0.015,-0.968,2
75.9,0.015,-0.034,0,-1.603,0.047,0.288,2
87.4,0.002,-0.058,-0.002,-1.584,0.038,-0.078,2
88.3,-0.042,0.007,-0.005,-1.536,-0.045,-0.799,1
72.9,-0.049,0.021,0.02,-1.54,0.011,-1.382,2
84.6,-0.015,-0.019,0.004,-1.573,-0.035,-0.835,1
93.2,-0.026,-0.066,-0.006,-1.526,0.014,1.032,2
76.2,-0.029,-0.019,0.019,-1.523,-0.039,-1.817,2
88,-0.008,0.036,0.014,-1.591,0.054,-2.027,1
106.3,-0.037,0.011,-0.007,-1.536,-0.001,-1.17,2
104.7,-0.071,-0.002,-0.007,-1.49,-0.015,0.15,1
55.7,-0.022,0.013,-0.054,-1.487,0.011,-1.193,1
131.7,-0.043,-0.007,-0.035,-1.575,-0.076,-2.995,2
86.5,0.009,-0.009,-0.016,-1.54,-0.028,-2.467,2
117,0.013,-0.026,0.003,-1.563,-0.043,-2.839,1
117.7,-0.02,0.018,0.065,-1.589,-0.014,2.614,2
90,0.012,0.003,0.033,-1.535,-0.009,0.13,2
84.4,0.01,-0.006,-0.017,-1.57,-0.025,1.401,2
105.9,-0.01,-0.002,0.007,-1.572,0.029,3.136,2
98.5,-0.028,0.003,0.007,-1.584,-0.044,1.721,2
87,-0.022,-0.015,-0.005,-1.561,-0.013,-1.549,1
103.8,-0.051,0.021,0.009,-1.588,-0.031,2.138,2
87.6,-0.008,0.008,0.062,-1.534,-0.014,-1.24,2
92.3,-0.025,0.007,-0.003,-1.574,0.008,-2.576,1
79.4,-0.023,0.015,-0.011,-1.588,0.007,-0.287,2
105.2,-0.048,0.032,-0.008,-1.6,-0.021,-2.726,1
83.1,-0.139,-0.434,-0.116,-1.704,-0.442,-0.528,2
88.9,-0.017,-0.008,0.025,-1.572,-0.03,1.486,2
106.6,-0.02,0.007,0.037,-1.531,0.028,0.056,1
89.8,-0.01,0.038,-0.017,-1.536,0.007,0.603,2
92.1,-0.012,0.026,-0.015,-1.545,0.003,0.088,1
74.7,-0.024,0,0.001,-1.565,0.006,-1.224,2
41.6,-0.009,-0.009,0.011,-1.56,0.008,3.135,2
123.2,0.014,-0.001,0.01,-1.562,0.007,2.698,1
94.2,-0.039,-0.018,0.012,-1.53,-0.011,0.821,1
40.9,-0.007,-0.011,0.044,-1.534,0,3.127,2
97.1,0.013,-0.004,0.056,-1.633,0.041,-0.653,2
102.3,-0.01,0.014,-0.001,-1.546,0.001,2.106,2
90.7,0.036,-0.042,-0.024,-1.542,-0.096,-1.682,2
88.7,0.022,0.036,-0.01,-1.544,-0.034,-0.323,1
100.8,-0.059,0.012,0.009,-1.574,0.027,-0.003,2
141,0.031,-0.076,-0.008,-1.547,0.03,-2.474,2
90.5,-0.003,0,-0.001,-1.552,-0.042,-0.195,1
106.2,-0.002,-0.013,0.007,-1.616,-0.024,-0.084,2
109.3,-0.003,-0.007,-0.005,-1.582,-0.006,3.126,2
83,-0.016,0.004,-0.061,-1.572,-0.026,-0.913,2
95.1,0.006,0.012,0.007,-1.549,-0.033,1.995,2
89.4,-0.013,-0.022,0.018,-1.508,0.037,-2.898,2
135.4,-0.029,0.003,0.001,-1.571,-0.017,2.807,2
124.1,0.001,0.022,-0.074,-1.529,-0.038,-0.151,2
127.8,-0.1,-0.368,-0.137,-1.616,-0.351,-0.493,2
96.1,0.009,-0.036,-0.01,-1.55,-0.027,0.075,2
86.8,-0.014,0.019,-0.015,-1.518,-0.036,-2.986,2
98.2,-0.027,-0.004,-0.003,-1.61,0.073,-0.077,2
62.7,-0.003,-0.007,-0.003,-1.583,-0.003,-2.885,1
91.4,-0.021,0.005,0.019,-1.499,-0.033,0.855,1
77.9,-0.014,0.012,-0.008,-1.534,0.05,1.605,1
91.4,-0.007,-0.007,-0.042,-1.497,0.005,-0.304,1
123.6,0.007,0.039,-0.002,-1.562,-0.047,-0.821,1
87,0.019,0.005,-0.012,-1.542,-0.009,-1.488,1
98.9,-0.022,0.013,-0.033,-1.529,-0.043,-2.746,1
86,-0.03,-0.006,0.013,-1.587,0.023,-1.835,2
112.8,0.023,0.007,-0.001,-1.548,0.018,2.449,1
92.7,0.043,-0.009,-0.065,-1.596,-0.024,-0.893,2
81.3,-0.018,-0.007,-0.002,-1.513,0.028,0.189,1
88.1,-0.008,-0.017,0,-1.504,0.001,1.673,2
86.8,-0.015,0.026,-0.008,-1.533,-0.041,-0.824,1
112.6,-0.073,0.055,0.063,-1.554,0.007,-2.381,2
93.1,0.008,-0.001,-0.007,-1.565,-0.027,1.845,1
96.8,-0.026,0.008,-0.001,-1.501,-0.039,-2.716,1
85.6,-0.031,-0.004,0.001,-1.504,-0.006,0.318,2
105.6,0.029,0.033,0.011,-1.572,0.018,0.332,1
84.9,-0.009,0.026,0.003,-1.511,-0.053,-1.452,1
70.1,-0.035,-0.062,-0.005,-1.594,-0.016,-0.028,2
102,-0.019,0,-0.009,-1.543,0.004,2.089,2
116.1,0.03,0.06,0.012,-1.568,0.044,0.461,2
121,-0.022,-0.031,-0.009,-1.533,0.013,1.901,1
92.2,-0.039,-0.006,-0.015,-1.531,-0.009,0.566,2
104.6,-0.011,-0.086,0.014,-1.506,-0.008,0.526,2
93,-0.03,0.004,-0.017,-1.547,-0.018,-2.956,2
99.3,-0.023,0.013,0.013,-1.579,-0.002,2.116,2
121.5,-0.008,-0.016,0.01,-1.513,0,0.364,2
109.1,-0.051,0.026,-0.001,-1.525,-0.009,-2.733,1
89.4,-0.006,0.026,-0.005,-1.58,0.038,-1.31,2
103.8,-0.017,0.062,0.02,-1.534,-0.006,2.122,2
84.7,-0.001,0.008,0.013,-1.55,-0.012,-1.577,1
110,-0.019,-0.01,0.023,-1.532,-0.008,0.304,1
112,-0.035,-0.002,0.012,-1.517,0.009,2.921,2
95.7,0.011,-0.045,0.084,-1.519,0.001,-0.413,1
89.8,0.003,-0.008,0.008,-1.51,-0.085,-2.23,1
94.4,0.017,0.003,0.019,-1.506,-0.019,-2.485,2
135.8,-0.023,0.017,0.02,-1.575,-0.073,-2.21,2
103.9,0.012,-0.012,0.015,-1.513,-0.048,-1.56,1
81.3,-0.003,0.011,0.017,-1.513,0.009,-0.651,1
109.3,-0.006,0.011,-0.004,-1.568,0.01,-1.251,1
93.1,-0.022,0.032,-0.006,-1.609,0.033,-1.993,1
63.1,-0.045,-0.01,-0.03,-1.651,0.253,-0.26,2
100.6,-0.019,0.029,-0.037,-1.549,-0.039,0.218,1
103.1,0.013,0.027,-0.002,-1.603,0.053,0.315,2
83.2,0.015,-0.017,-0.003,-1.557,0.008,2.795,2
91.8,-0.025,-0.006,0.011,-1.546,0.012,-3.031,2
86.6,-0.036,-0.006,0.01,-1.515,0.023,0.055,1
122.9,-0.008,-0.003,0.004,-1.522,-0.023,0.437,2
86.1,-0.019,0,0,-1.515,-0.035,1.961,1
96.5,-0.014,0.008,-0.009,-1.586,-0.087,-0.81,1
88.3,-0.034,-0.007,-0.008,-1.565,-0.036,-0.351,2
55,-0.015,0.002,-0.052,-1.598,0.226,0.114,2
81.8,-0.006,0,0.011,-1.588,0.016,2.997,2
94,-0.016,-0.025,-0.008,-1.587,0.088,0.246,2
98.1,-0.008,-0.019,0.01,-1.545,0.042,0.953,1
94.5,-0.024,0.017,0.015,-1.563,-0.004,-2.725,1
97.1,-0.002,0.023,0.005,-1.58,-0.014,-1.394,2
128,-0.015,-0.01,0.024,-1.591,-0.063,0.321,2
89.9,-0.027,0.028,-0.001,-1.568,-0.051,-2.799,2
79.1,0,0.009,-0.016,-1.597,-0.018,-2.861,1
100.8,-0.008,-0.001,0.011,-1.608,-0.026,0.265,1
101.8,-0.013,0.03,0,-1.516,0.025,0.361,1
88.3,-0.01,0.019,-0.007,-1.531,0.015,0.163,1
88.8,-0.008,0.013,-0.04,-1.548,0.022,-0.369,2
122.5,-0.034,-0.239,-0.084,-1.625,-0.247,-0.542,2
90.4,-0.017,-0.023,-0.005,-1.554,0,0.669,1
94.6,-0.01,-0.014,-0.011,-1.507,-0.006,0.784,1
103.9,0.005,-0.022,0.014,-1.515,-0.022,0.275,1
76,-0.027,0.014,0.006,-1.602,0.004,0.27,2
87.3,-0.007,-0.005,-0.001,-1.597,0.049,1.507,2
67.4,0.002,0.021,-0.021,-1.51,-0.047,0.016,2
131.3,-0.01,0.018,-0.017,-1.537,0.049,2.75,2
96.5,-0.057,-0.022,-0.04,-1.545,-0.04,-1.026,1
94.4,-0.008,0.03,-0.004,-1.516,-0.057,1.658,2
99.8,-0.013,-0.018,0.011,-1.582,0.043,0.026,2
75.9,-0.014,0.015,-0.01,-1.556,-0.031,1.108,2
87.5,0.034,-0.051,-0.006,-1.566,-0.006,0.418,2
116.1,-0.016,-0.021,-0.025,-1.523,0.039,0.136,1
95.4,-0.026,-0.006,-0.01,-1.516,0.014,3.086,2
105.2,0.017,-0.001,-0.007,-1.516,-0.026,0.276,1
90.5,-0.074,-0.001,-0.022,-1.56,0,0.066,2
87.5,-0.107,-0.404,-0.007,-1.59,-0.455,-0.448,2
83,-0.015,0.017,-0.034,-1.535,0.006,-0.632,1
117.8,0.026,0.001,0.007,-1.569,0.026,-1.198,1
113.4,-0.075,0.007,-0.013,-1.592,-0.161,-0.591,2
108.9,-0.006,-0.001,0.009,-1.574,0.006,1.984,1
89,-0.002,0.009,-0.005,-1.527,-0.022,0.673,2
109.7,-0.047,0.008,-0.024,-1.547,-0.054,0.274,1
96.6,-0.037,0.002,-0.008,-1.561,-0.016,-0.417,2
86.3,-0.026,-0.006,-0.009,-1.555,-0.03,-1.386,2
80.5,-0.052,0.012,-0.006,-1.56,-0.039,-1.609,1
101.6,0.002,0.014,0.004,-1.606,0,-3.079,2
73,-0.006,-0.001,0.005,-1.619,-0.009,0.113,1
76.6,0.009,-0.008,0,-1.608,0.013,-0.274,1
88,-0.002,-0.014,-0.015,-1.517,-0.047,1.716,1
99.9,0.007,0.012,0.012,-1.588,0.021,0.167,2
105.7,0.021,0.005,0.001,-1.589,0.012,-0.773,2
96.7,-0.001,-0.002,0.026,-1.577,0,0.081,1
122.7,0.006,-0.033,0.025,-1.569,0.004,-2.372,2
102.6,0.016,0.034,0.01,-1.58,-0.014,-1.337,2
99.6,-0.022,0.005,0.095,-1.526,-0.02,-1.75,2
91.1,-0.012,-0.005,0.004,-1.494,0.067,-0.499,1
43.8,-0.025,0.01,0.02,-1.588,-0.004,-0.078,1
96.4,-0.026,0.001,-0.02,-1.519,0.003,0.067,1
93.8,-0.016,0.005,0.013,-1.574,-0.07,-0.186,2
83.4,0.001,-0.012,-0.015,-1.538,0.037,-2.997,2
99.6,-0.042,-0.009,-0.005,-1.556,-0.011,0.15,1
84.2,0.003,-0.014,0.003,-1.602,-0.017,-0.336,2
114.6,-0.028,0.011,-0.061,-1.547,-0.029,2.757,2
99.1,-0.01,0.005,-0.001,-1.581,-0.004,2.107,2
98.1,-0.078,0.012,-0.04,-1.539,-0.012,-3.135,2
86.5,-0.009,-0.017,-0.038,-1.638,-0.041,2.036,2
91.5,-0.064,-0.081,-0.106,-1.63,-0.119,0.041,2
85.2,-0.023,-0.003,-0.021,-1.526,-0.045,-0.1,1
88.7,0.018,-0.042,0.019,-1.499,0.025,-1.675,2
73,-0.072,0.124,-0.035,-1.576,-0.166,-1.216,1
86.1,0.013,0.003,-0.007,-1.593,0.054,0.387,1
115.5,0.009,0.05,0.029,-1.486,0.032,-0.845,2
117.4,-0.086,0.002,-0.033,-1.636,-0.178,-1.008,2
88.3,-0.028,0.015,0.017,-1.641,0.057,0.369,2
91.6,0.003,0.012,0.004,-1.528,0.02,0.104,1
89.8,-0.012,-0.019,0.01,-1.577,-0.046,-0.831,1
107.1,-0.054,0.024,-0.003,-1.593,-0.082,0.055,2
100.7,-0.001,0.038,-0.025,-1.515,0.024,-1.883,1
96.3,-0.025,-0.005,-0.001,-1.512,-0.083,-2.151,2
85.5,-0.016,-0.006,-0.007,-1.504,-0.009,0.855,1
84.5,-0.002,0.02,0.016,-1.578,0.006,0.294,1
89.9,-0.018,0.007,-0.01,-1.538,-0.019,-1.169,1
83.7,-0.018,0.003,-0.02,-1.556,0.015,0.212,1
84.8,0.013,0,-0.021,-1.566,-0.009,-3.034,2
91,0.005,-0.004,0.001,-1.577,0.012,0.139,1
72.9,-0.036,0.031,-0.167,-1.554,0.198,-0.026,2
112.9,-0.017,0.015,-0.034,-1.566,-0.029,2.101,1
80.6,0.017,-0.009,-0.001,-1.548,-0.004,-0.632,2
124.5,0.019,0.007,0.022,-1.585,0.014,0.117,2
97.2,0.023,-0.005,-0.014,-1.586,0.005,2.523,1
74.3,-0.027,0.067,-0.013,-1.502,-0.039,0.068,2
73.1,-0.026,-0.001,-0.056,-1.596,-0.005,-2.934,2
81.6,0,-0.014,0.014,-1.532,-0.016,0.308,2
88.1,-0.03,0.037,-0.022,-1.508,-0.017,-1.188,2
91.5,0.012,-0.004,-0.008,-1.593,0,0.128,1
111.9,0.008,0.016,-0.003,-1.533,0.024,-1.434,1
95.7,-0.05,-0.022,0.026,-1.556,0.032,-1.799,1
103.5,0.026,-0.004,0.016,-1.563,-0.042,-2.907,1
89.9,-0.022,-0.006,-0.006,-1.601,-0.018,-0.082,1
106,0.023,0,-0.045,-1.537,-0.081,-2.989,1
78.3,0.015,0.009,-0.003,-1.502,-0.027,0.117,1
84.3,-0.045,-0.011,-0.008,-1.611,-0.015,0.433,1
115.7,-0.017,-0.007,0.001,-1.57,0.039,-1.203,1
86.4,-0.015,-0.009,-0.001,-1.585,-0.016,-0.289,1
109.9,-0.001,-0.003,-0.017,-1.554,0.042,-1.347,1
75.7,-0.012,-0.017,0.029,-1.588,0.008,-0.013,1
100.1,-0.038,0.013,0.025,-1.564,0.044,0.105,2
88.2,0.001,0.041,-0.033,-1.552,-0.026,-0.435,2
93.2,-0.017,0.022,0.007,-1.516,-0.026,-2.979,2
134.5,-0.033,-0.012,0.014,-1.55,0,2.887,2
72.5,-0.02,-0.01,0.007,-1.572,0.005,-1.381,2
91.1,0.005,0.021,0.002,-1.561,0.011,0.037,1
107.8,0.001,0.028,-0.008,-1.564,0.025,0.016,2
82.8,-0.015,0.004,0.004,-1.571,-0.001,2.022,2
95.8,0.014,0.015,-0.022,-1.508,-0.018,0.313,2
97.3,0.023,0.018,0.015,-1.578,0.001,-0.411,1
89,0.018,-0.003,0.019,-1.499,0.059,-0.879,2
96.4,-0.019,-0.018,-0.002,-1.496,-0.014,1.427,2
82.3,-0.013,0.003,-0.002,-1.573,0.03,0.019,1
94.1,-0.013,0.016,-0.031,-1.603,0.015,2.144,1
88.7,-0.012,0.024,0.052,-1.551,0.008,0.004,2
59.5,0.028,-0.309,-0.04,-1.601,-0.042,2.251,1
117.3,-0.009,-0.045,0.022,-1.534,-0.01,-2.253,2
69,-0.027,-0.01,-0.01,-1.554,-0.05,2.03,2
96.5,-0.009,0.035,-0.018,-1.537,0.014,0.307,1
96.6,-0.027,0.003,0.003,-1.55,0.018,1.067,2
92.1,0.014,0.026,0.013,-1.49,-0.061,-1.222,2
86.5,-0.015,0.001,0.01,-1.589,-0.011,0.124,1
98.9,-0.037,-0.037,-0.004,-1.522,0.015,0.091,1
84.2,-0.006,0.013,-0.041,-1.554,0.004,1.285,2
98.5,-0.011,0.016,0.018,-1.597,0.02,0.35,2
95.7,0.011,0.025,0.005,-1.562,-0.011,-2.781,1
85.5,-0.045,0.02,0.044,-1.58,0.033,0.169,2
120.6,-0.021,-0.004,0.006,-1.483,-0.039,-2.521,2
111.1,-0.016,0.011,-0.002,-1.508,0.03,0.298,2
93,-0.014,0.017,-0.016,-1.555,0.03,-1.022,2
84.9,0.014,-0.019,0.031,-1.581,-0.021,-1.045,2
90.5,-0.037,-0.02,-0.035,-1.549,0.024,-1.003,2
90.7,0.003,0.018,0.056,-1.557,-0.067,-0.953,1
54.1,0.011,-0.027,0.001,-1.666,0.203,2.696,2
99.9,0.004,-0.018,-0.004,-1.591,0.052,0.164,2
84.2,0.003,0.031,0.027,-1.577,0.005,-2.988,2
95.3,-0.11,-0.025,0.017,-1.553,-0.057,-0.608,2
94.1,-0.027,-0.001,0.003,-1.506,-0.097,-1.733,1
78.8,0.003,-0.011,-0.006,-1.606,0.028,0.066,1
74.6,-0.021,-0.066,-0.023,-1.539,0.038,2.955,2
91.2,0.002,-0.004,-0.021,-1.505,0.005,1.132,1
100.9,0.02,0.056,0.016,-1.595,0.008,0.419,1
133.8,-0.051,-0.284,-0.011,-1.539,-0.285,-0.192,2
84.5,-0.018,0.039,0.007,-1.556,-0.046,0.418,2
98.1,0.003,0.03,-0.003,-1.557,-0.022,0.07,1
110.3,-0.002,0.017,-0.003,-1.513,0.036,2.419,1
97,-0.012,-0.009,-0.028,-1.549,0.045,0.123,1
66.1,-0.009,0.045,0.003,-1.513,-0.034,1.739,2
117.8,-0.051,0.001,-0.071,-1.403,-0.024,0.345,2
97.7,0.01,0.015,0.007,-1.543,0.022,0.059,1
100.8,0.002,-0.001,0.018,-1.544,0.008,-2.677,1
69.7,0.02,-0.047,0.071,-1.447,-0.036,-1.591,2
91,0.025,-0.042,-0.022,-1.576,0.005,-0.058,2
100.6,-0.001,-0.07,-0.001,-1.596,0.023,-1.291,2
103.5,-0.01,-0.015,0.036,-1.519,-0.012,0.277,1
91,0.051,0.255,-0.083,-1.577,-0.159,0.348,2
93,-0.025,-0.015,-0.015,-1.538,0.069,1.132,2
97.5,-0.011,-0.022,0.018,-1.549,-0.007,2.015,2
101.1,-0.02,0.006,-0.001,-1.512,-0.002,0.651,1
99.6,0.003,0.008,-0.022,-1.58,0.013,0.078,1
99.8,-0.019,0.012,-0.014,-1.583,0.012,0.062,2
76.6,-0.023,-0.027,0.073,-1.603,0.011,-1.191,2
109.3,-0.003,-0.024,-0.013,-1.58,0.014,-0.938,1
87,0.013,-0.009,-0.009,-1.565,-0.039,-0.278,1
114.4,0.087,-0.061,-0.016,-1.503,-0.017,-0.206,2
66.1,-0.01,-0.036,0.034,-1.572,-0.033,-1.59,1
89.3,-0.068,-0.359,-0.01,-1.527,-0.402,-0.453,2
135,-0.108,-0.356,-0.039,-1.615,-0.346,-0.489,2
86.2,-0.001,0.028,-0.007,-1.551,0.04,0.687,2
126.3,0.018,-0.026,0.018,-1.599,-0.013,-2.459,2
89.2,0.008,-0.001,-0.001,-1.515,-0.016,-3.045,2
84.7,0.028,-0.063,-0.002,-1.542,0.02,1.102,2
111.8,-0.023,-0.026,0.018,-1.563,-0.014,-0.922,2
80.7,-0.012,0.037,0.03,-1.561,0.049,-2.994,2
92.1,0.002,0.006,0.001,-1.516,-0.026,-1.82,1
116,0.037,0.006,0.003,-1.545,0.003,0.18,2
0,0.01,0.008,0.004,-1.547,-0.006,0.072,2
117.9,-0.051,-0.033,0.045,-1.546,-0.02,-0.552,2
114.4,-0.01,-0.008,0.006,-1.56,-0.001,-1.261,1
86.1,-0.062,0.05,0.014,-1.516,0.049,0.934,2
79.1,-0.014,-0.008,-0.021,-1.568,-0.026,-0.205,1
95.2,-0.033,0.015,0.029,-1.532,0.014,0.099,1
94.7,-0.001,0.013,0.003,-1.536,0.028,-1.846,2
95.3,0.001,0.011,-0.047,-1.565,-0.011,-2.603,1
74.1,0.006,-0.015,-0.005,-1.571,0,-1.219,2
84.8,-0.033,-0.012,-0.029,-1.522,0.019,2.907,2
91.4,-0.015,0.017,-0.012,-1.524,0.052,-0.953,1
88.1,-0.015,0.024,0.019,-1.567,-0.018,1.672,2
85.8,-0.024,0.006,0.01,-1.528,-0.037,1.973,1
108.3,-0.015,-0.036,-0.013,-1.562,0.035,-1.173,2
71.1,-0.025,0.001,0.003,-1.591,-0.016,-0.196,1
100.9,-0.022,-0.014,0.015,-1.503,0.05,2.835,2
99.2,-0.043,0.026,0.022,-1.596,0.052,2.195,1
93.5,-0.009,-0.017,0.01,-1.538,-0.027,-1.877,1
73.5,-0.023,-0.012,0.006,-1.554,-0.002,2.026,2
74.7,0.003,-0.007,0.019,-1.609,0.012,-0.074,1
117.5,-0.04,0.023,-0.027,-1.564,-0.165,-3.037,2
111,-0.056,-0.269,0.02,-1.626,-0.293,-0.495,2
86.6,-0.021,0.018,0.03,-1.608,-0.018,1.827,1
83.5,-0.051,-0.008,-0.053,-1.617,-0.023,-0.688,2
108.5,-0.015,-0.006,-0.003,-1.592,-0.018,1.86,2
82.4,-0.011,0.024,-0.115,-1.44,-0.007,-0.92,2
107.5,0.004,-0.019,0.001,-1.573,0.027,-3.107,2
147.3,-0.057,-0.011,-0.061,-1.562,-0.086,-2.324,2
101.3,-0.011,-0.017,0.007,-1.521,-0.012,0.646,1
81.4,-0.011,0.007,0.02,-1.551,-0.015,-0.249,1
88.3,0.003,0.006,0.049,-1.565,0.007,-0.572,2
79.2,-0.021,0.01,0.018,-1.577,-0.013,2.998,2
95.7,-0.023,0.03,-0.048,-1.507,-0.091,-1.483,2
93.1,-0.031,0.002,-0.028,-1.504,-0.004,0.48,1
120.7,-0.036,0.006,0.014,-1.545,-0.02,0.422,2
90.3,-0.012,0.018,0.014,-1.529,0.054,1.68,2
92.3,0.022,-0.027,0.005,-1.55,-0.005,0.194,2
86.4,-0.002,-0.018,-0.042,-1.571,-0.016,-0.253,1
122.3,-0.015,-0.013,-0.016,-1.524,-0.035,-0.887,2
53.9,0.002,0.028,-0.035,-1.545,0.245,1.881,2
101.1,-0.044,0.001,-0.06,-1.699,-0.017,-0.038,1
99,-0.016,0.055,0.032,-1.634,-0.006,2.127,1
97.4,-0.01,-0.025,0.001,-1.599,-0.038,0.266,1
106.8,-0.015,0.001,-0.024,-1.535,0.029,-0.811,2
52.7,-0.025,0.028,-0.051,-1.617,0.214,1.817,2
81,0.003,0.005,-0.009,-1.526,0.008,-1.263,1
89.6,0.01,0.013,-0.006,-1.565,-0.001,-1.396,2
86,-0.017,-0.006,0.003,-1.566,-0.005,2.807,2
102.3,-0.032,-0.009,-0.002,-1.573,-0.046,1.947,2
83.4,-0.017,-0.024,-0.001,-1.609,-0.029,0.081,1
99.1,-0.013,0.017,0.014,-1.544,0.002,0.155,1
46.1,-0.084,-0.022,-0.045,-1.577,0.178,1.722,2
84.5,-0.044,0.012,-0.017,-1.594,-0.014,-0.392,2
92.2,-0.005,-0.011,-0.039,-1.617,-0.056,-0.299,2
108.8,-0.006,-0.008,0.01,-1.557,0.015,0.006,2
119.6,0.007,-0.037,-0.001,-1.536,0.023,0.424,2
77.2,-0.041,0.005,0.007,-1.544,-0.021,2.94,2
120.5,0.006,0.002,-0.021,-1.538,0.032,0.147,2
85.7,-0.003,0.013,-0.012,-1.568,-0.038,1.953,1
110.5,-0.039,-0.004,-0.002,-1.556,-0.036,-0.874,1
87.6,-0.031,-0.017,0.009,-1.6,-0.06,-0.029,2
115.2,-0.021,0.035,0.003,-1.571,0.023,-2.51,2
83.6,-0.009,-0.017,-0.025,-1.585,-0.033,-0.152,1
79.2,0.002,-0.007,-0.003,-1.573,0.01,-0.401,2
95.1,-0.069,-0.432,0.018,-1.533,-0.403,-0.473,2
80.5,-0.019,-0.112,-0.03,-1.532,0.029,0.136,2
92,0.001,-0.005,-0.008,-1.572,0.014,0.111,1
85.2,-0.003,0.009,0.008,-1.551,0.007,2.916,2
87.2,0.035,0.043,-0.019,-1.58,-0.035,-0.317,2
134.9,-0.024,0.047,-0.038,-1.629,-0.207,-0.507,2
87.4,-0.106,-0.435,-0.011,-1.574,-0.431,-0.508,2
115.2,-0.012,0.049,-0.048,-1.614,-0.13,-1.304,2
85.3,-0.055,-0.004,0.034,-1.544,0.054,0.083,1
88.7,-0.004,0.022,0.001,-1.585,0.032,0.063,1
